file_name,QuestionText,answer
"AmbianceBackyard_Quiet_bip.wav","How many birds are squawking?",THREE
"AmbianceBackyard_Quiet_bip.wav","How many cars honk their horn?",ONE
"20110121_cranes.wind.wav","How many birds are making noise?",TWO
"20110121_cranes.wind.wav","What species of animal can be heard?",BIRD
"EXT Steel works far.wav","What is being placed on the platform towards the end of the clip?",WOOD
"EXT Steel works far.wav","What type of material is the dropped item made of?",WOOD
"Walking in Circles around fountain.wav","what is causing the rasping sound?",WIND
"20070819.fjord.beach.00.wav","What is crashing against the beach?",WAVES
"20070819.fjord.beach.00.wav","What is making the sound that can be heard in this clip?",WAVES
"west ham bubbles.wav","What mood is being portrayed from the mammals?",HAPPY
"Rainstorm.wav","What is causing the blowing sound?",WIND
"31 hn_door4.wav","How many separate creaking noises were made?",FIVE
"31 hn_door4.wav","What is making the creaking noise?",DOOR
"jf Ingenioius Experiment.wav","What is the name of the object being used to complete the action that is heard?",GLASS
"jf Ingenioius Experiment.wav","Which part of the room is being affected by the activity taking place?",FLOOR
"SamyeLing_Drain121102.wav","What is falling?",WATER
"SamyeLing_Drain121102.wav","What is making the most noise?",WATER
"Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav","What color are the animals heard here?",UNKNOWN
"Train Horn.wav","What sound can be heard in the first half of the clip?",HORN
"Train Horn.wav","What type of train is this ?",FAST
"kettle-watergong4.wav","What is the object being struck?",DRUM
"open and close umbrella.wav","What object is making the sounds?",STAPLER
"SR001F.wav","how many people are talking?",THREE
"SR001F.wav","Who is talking to each other?",PEOPLE
"SYnth_NoisesAV.wav","How many objects are making noise?",ONE
"SYnth_NoisesAV.wav","What is making the noise?",SYNTHESIZER
"San Francisco Traffic at Powell And O&#39;Farrell.wav","How many people are chatting in the background?",TWO
"San Francisco Traffic at Powell And O&#39;Farrell.wav","What type of vehicle is driving by?",MOTORCYCLE
"April_2004_garden_birds01.wav","What is the bird doing?",CHIRPING
"bamboo_wind_chimes_1.wav","What class of instrument is this?",DRUM
"Cat and Rain.wav","What animal is making noise?",CAT
"Cat and Rain.wav","What kind of animal is nearby?",CAT
"md4trk7.wav","how many times does the sound stop and start again?",ZERO
"DH12_139_CentStat11_out.wav","What is the gender of the recorded voice?",FEMALE
"DH12_139_CentStat11_out.wav","Who is the announcement for?",PEOPLE
"stream5.wav","what is flowing?",WATER
"stream5.wav","What is the water doing?",FLOWING
"Steady Rain.wav","How is the weather?",RAINY
"resonant_sewer.wav","What is it that is falling into a puddle?",WATER
"resonant_sewer.wav","What is likely producing the sound of the flowing substance?",WATER
"La cuina del institut.wav","How many different voices can be heard?",TWO
"La cuina del institut.wav","What's the person doing?",TALKING
"d0_drips_03.wav","What is dripping?",WATER
"Newark airport outside.wav","What are the people doing?",TALKING
"Gibraltar Mountain (apes, birds).wav","How many voices are heard?",THREE
"in_cafe_4.wav","What are the people doing?",TALKING
"turtledove sounds.wav","What is the owl doing?",SINGING
"belladonna.wav","Where would one hear this sound?",CHURCH
"forest04.wav","What sort of animal is making the noises?",BIRDS
"footstep on wood foley.wav","What is the person walking up?",STAIRS
"inside a japanese bus.wav","How many ticking noises occur?",FIVE
"Waterfalls_00217.wav","What is flowing?",WATER
"Omni_Ambiental_PublicKitchen.wav","What sport is being played?",PINGPONG
"Anchor Chain.wav","How quickly is the train moving ?",SLOWLY
"Birds and ducks -Delta del Llobregat.wav","What insect can be heard chirping?",CRICKET
"Tallarol capnegre.wav","What type of insect is making this noise ?",CRICKET
"Bathtub_with_Foam.wav","What is going down the tank?",WATER
"Bathtub_with_Foam.wav","What object is making this sound?",WATER
"Car Engine 1.wav","What type of vehicle is making the loud noise?",TRUCK
"Sink and Water.wav","How many times does it squeak?",ONE
"Sink and Water.wav","What is the water doing?",RUNNING
"RowanMagennis_160019_SD100_CrumplingTinFoil.wav","What is the item that is rustling like paper?",METAL
"Rain hitting window.wav","What microwaved food does the clustered nature this sound remind one of?",POPCORN
"Squeak Finger on Glass.wav","What is being washed?",WINDOW
"Glass bag drops.wav","How many times does the glass shatter?",SIX
"Glass bag drops.wav","What is the distance of the glass shattering?",CLOSE
"cooking pasta.wav","What is the liquid doing?",BUBBLING
"Ambulance Siren.wav","The shrill sound is being made by a what?",SIREN
"Ambulance Siren.wav","Which direction is the car going?",AWAY
"buzzing stinging.wav","What is the loudest sound in this recording?",BUZZING
"City Bus.wav","How many people can be heard talking?",ONE
"Pouring Into Glass.wav","How many drinks are poured?",THREE
"Rumpling_Paper_01.wav","What is the person touching?",PAPER
"kipgeluid.wav","how many chickens are there?",TWO
"kipgeluid.wav","What are the chickens moving on ?",HAY
"Water Boiling in Small Pot_1-2.wav","What is the precipitation that produces the noise composed of?",RAIN
"Water Boiling in Small Pot_1-2.wav","What type of precipitation is it?",RAIN
